Luc,2023,1,1,11,30,200.0,N/A
test,2023,1,1,11,30,250.0,Shampoo
Banan,2023,1,1,16,30,300.0,Hairnet
Guy,2023,11,8,10,0,200.0,N/A
testing,2023,11,8,11,30,250.0,Shampoo
Ham,2023,11,8,14,0,200.0,N/A
John,2023,11,8,17,30,200.0,N/A
Jan,2023,12,12,12,0,200.0,N/A
Lu,2023,12,12,12,30,200.0,N/A
Lulu,2023,12,12,14,30,200.0,N/A
Cim Son,2024,12,31,15,0,200.0,N/A
Guy1,2023,11,8,10,30,200.0,N/A
Guy2,2023,11,8,11,0,200.0,N/A
Guy3,2023,11,8,12,0,200.0,N/A
Guy4,2023,11,8,12,30,200.0,N/A
Guy5,2023,11,8,13,0,200.0,N/A
Guy6,2023,11,8,13,30,200.0,N/A
Guy7,2023,11,8,14,30,200.0,N/A
Guy8,2023,11,8,15,0,200.0,N/A
Guy9,2023,11,8,15,30,200.0,N/A
HappyGuy10,2023,11,8,16,0,200.0,N/A
Guy11,2023,11,8,16,30,200.0,N/A
Guy12,2023,11,8,17,0,200.0,N/A
